i,latency_ms,valid,bridge_ram_mb,sys_ram_mb
0,28,true,0,undefined
1,26,true,0,undefined
2,29,true,0,undefined
3,28,true,0,undefined
4,26,true,0,undefined
5,29,true,0,undefined
6,27,true,0,undefined
7,27,true,0,undefined
8,30,true,0,undefined
9,125,true,51,undefined
10,30,true,51,undefined
11,30,true,51,undefined
12,32,true,51,undefined
13,28,true,51,undefined
14,109,true,51,undefined
15,27,true,51,undefined
16,28,true,51,undefined
17,29,true,51,undefined
18,28,true,51,undefined
19,28,true,51,undefined
20,112,true,51,undefined
21,30,true,51,undefined
22,27,true,51,undefined
23,28,true,51,undefined
24,27,true,51,undefined
25,28,true,51,undefined
26,111,true,51,undefined
27,26,true,51,undefined
28,27,true,51,undefined
29,28,true,51,undefined
30,26,true,51,undefined
31,28,true,51,undefined
32,115,true,51,undefined
33,28,true,51,undefined
34,27,true,51,undefined
35,27,true,51,undefined
36,26,true,51,undefined
37,28,true,51,undefined
38,112,true,51,undefined
39,28,true,51,undefined
40,26,true,51,undefined
41,28,true,51,undefined
42,27,true,51,undefined
43,28,true,51,undefined
44,120,true,51,undefined
45,28,true,51,undefined
46,27,true,51,undefined
47,29,true,51,undefined
48,27,true,51,undefined
49,31,true,51,undefined
50,113,true,51,undefined
51,31,true,51,undefined
52,27,true,51,undefined
53,28,true,51,undefined
54,26,true,51,undefined
55,27,true,51,undefined
56,116,true,51,undefined
57,28,true,51,undefined
58,27,true,51,undefined
59,28,true,51,undefined
60,26,true,51,undefined
61,27,true,51,undefined
62,113,true,51,undefined
63,27,true,51,undefined
64,26,true,51,undefined
65,27,true,51,undefined
66,26,true,51,undefined
67,27,true,51,undefined
68,117,true,51,undefined
69,28,true,51,undefined
70,26,true,51,undefined
71,28,true,51,undefined
72,26,true,51,undefined
73,27,true,51,undefined
74,117,true,51,undefined
75,26,true,51,undefined
76,26,true,51,undefined
77,28,true,51,undefined
78,27,true,51,undefined
79,27,true,51,undefined
80,27,true,51,undefined
81,121,true,51,undefined
82,26,true,51,undefined
83,27,true,51,undefined
84,26,true,51,undefined
85,28,true,51,undefined
86,112,true,51,undefined
87,28,true,51,undefined
88,26,true,51,undefined
89,27,true,51,undefined
90,26,true,51,undefined
91,28,true,51,undefined
92,26,true,51,undefined
93,120,true,51,undefined
94,26,true,51,undefined
95,28,true,51,undefined
96,36,true,51,undefined
97,27,true,51,undefined
98,109,true,51,undefined
99,27,true,51,undefined
100,26,true,51,undefined
101,28,true,51,undefined
102,26,true,51,undefined
103,28,true,51,undefined
104,119,true,51,undefined
105,28,true,51,undefined
106,27,true,51,undefined
107,28,true,51,undefined
108,26,true,51,undefined
109,27,true,51,undefined
110,115,true,51,undefined
111,29,true,51,undefined
112,26,true,51,undefined
113,26,true,51,undefined
114,26,true,51,undefined
115,27,true,51,undefined
116,26,true,51,undefined
117,117,true,46,undefined
118,26,true,46,undefined
119,28,true,46,undefined
120,26,true,46,undefined
121,27,true,46,undefined
122,26,true,46,undefined
123,117,true,46,undefined
124,27,true,46,undefined
125,30,true,46,undefined
126,27,true,46,undefined
127,26,true,46,undefined
128,28,true,46,undefined
129,120,true,46,undefined
130,26,true,46,undefined
131,27,true,46,undefined
132,26,true,46,undefined
133,26,true,46,undefined
134,26,true,46,undefined
135,119,true,46,undefined
136,27,true,46,undefined
137,27,true,46,undefined
138,26,true,46,undefined
139,27,true,46,undefined
140,26,true,46,undefined
141,117,true,46,undefined
142,26,true,46,undefined
143,27,true,46,undefined
144,26,true,46,undefined
145,27,true,46,undefined
146,26,true,46,undefined
147,177,true,46,undefined
148,30,true,46,undefined
149,26,true,46,undefined
150,121,true,46,undefined
151,26,true,46,undefined
152,26,true,46,undefined
153,25,true,46,undefined
154,26,true,46,undefined
155,25,true,46,undefined
156,26,true,46,undefined
157,115,true,46,undefined
158,26,true,46,undefined
159,25,true,46,undefined
160,25,true,46,undefined
161,25,true,46,undefined
162,26,true,46,undefined
163,116,true,46,undefined
164,25,true,46,undefined
165,26,true,46,undefined
166,27,true,46,undefined
167,26,true,46,undefined
168,27,true,46,undefined
169,109,true,46,undefined
170,26,true,46,undefined
171,26,true,46,undefined
172,27,true,46,undefined
173,26,true,46,undefined
174,25,true,46,undefined
175,28,true,46,undefined
176,118,true,46,undefined
177,26,true,46,undefined
178,27,true,46,undefined
179,26,true,46,undefined
180,27,true,46,undefined
181,26,true,46,undefined
182,118,true,46,undefined
183,26,true,46,undefined
184,26,true,46,undefined
185,26,true,46,undefined
186,27,true,46,undefined
187,27,true,46,undefined
188,117,true,46,undefined
189,26,true,46,undefined
190,26,true,46,undefined
191,26,true,46,undefined
192,30,true,46,undefined
193,113,true,46,undefined
194,25,true,46,undefined
195,26,true,46,undefined
196,26,true,46,undefined
197,25,true,46,undefined
198,26,true,46,undefined
199,26,true,46,undefined
